,age,Country,A1,A2_translation,vague,real_polarity_class,real_polarity
2763,38,Italy,6.0,all simple and clear,Vague 2021,negative,0
2764,41,France,8.0,simple and fast,Vague 2021,neutral,1
2765,72,Italy,10.0,"i buy amazon items, i return in installments ... and i keep buying back",Vague 2021,positive,2
2766,57,Italy,8.0,works well,Vague 2021,neutral,1
2767,38,France,7.0,service that stays tuned.,Vague 2021,neutral,1
2768,39,Italy,7.0,i found myself well,Vague 2021,neutral,1
2769,25,Italy,7.0,"serious, easy loan disbursement",Vague 2021,neutral,1
2770,70,France,4.0,no match possible,Vague 2021,negative,0
2771,30,France,9.0,"file easy to assemble, quick agreement in principle, rate 0%",Vague 2021,positive,2
2772,29,Italy,9.0,"comfortable, not expensive",Vague 2021,positive,2
2773,52,France,8.0,good service,Vague 2021,neutral,1
2774,52,France,5.0,"credit imposed by peugeot in exchange for an offer, but very high rate!!",Vague 2021,negative,0
2775,49,Italy,5.0,interest too high,Vague 2021,negative,0
2776,18,Italy,9.0,because they are clear fast punctual,Vague 2021,positive,2
2777,36,France,6.0,they are expensive,Vague 2021,negative,0
2778,41,Italy,6.0,i have little trust in banks and financial companies,Vague 2021,negative,0
2779,26,Italy,10.0,excellent service,Vague 2021,positive,2
2780,54,Italy,8.0,serious bank with competent staff,Vague 2021,neutral,1
2781,57,Italy,10.0,reliability and affordable,Vague 2021,positive,2
2782,40,Italy,7.0,seriousness and reliability,Vague 2021,neutral,1
2783,29,France,6.0,i don't know,Vague 2021,negative,0
2784,33,Italy,8.0,accuracy and assistance,Vague 2021,neutral,1
2785,52,France,6.0,serious organization but high rate,Vague 2021,negative,0
2786,60,France,7.0,a bit expensive over 60 months,Vague 2021,neutral,1
2787,63,France,7.0,"a consumer credit, yes, but it's a chasm, we reimburse and we resume",Vague 2021,neutral,1
2788,45,France,5.0,ghh,Vague 2021,negative,0
2789,29,France,8.0,her popularity,Vague 2021,neutral,1
2790,41,France,7.0,good but not perfect on the maximum possible refund amount,Vague 2021,neutral,1
2791,51,Italy,8.0,credit received quickly and without problems,Vague 2021,neutral,1
2792,35,Italy,9.0,because it is one of the most solid and well-established institutions of this type,Vague 2021,positive,2
2793,56,Italy,7.0,possibility of paying in installments without interest,Vague 2021,neutral,1
2794,70,Italy,7.0,sfknfkk,Vague 2021,neutral,1
2795,64,France,7.0,i am happy with franfinance,Vague 2021,neutral,1
2796,57,Italy,6.0,adequate rate but you can do better,Vague 2021,negative,0
2797,41,Italy,6.0,,Vague 2021,negative,0
2798,37,France,7.0,it is a trustworthy company that offers a good product,Vague 2021,neutral,1
2799,49,France,5.0,dvsd fgd gd,Vague 2021,negative,0
2800,33,Italy,7.0,i'm getting along well with this institute but i much prefer agos,Vague 2021,neutral,1
2801,55,France,5.0,"very bad credit institution, with a lot of hidden costs, this is the first time i have made a loan with them but it is the last. besides, i am in the process of redeeming my loan",Vague 2021,negative,0
2802,52,France,8.0,i'm happy with how the process went,Vague 2021,neutral,1
2803,64,France,9.0,no problem so far,Vague 2021,positive,2
2804,69,France,7.0,"i do not know viaxel particularly, i only have it for the financing of the leisure vehicle",Vague 2021,neutral,1
2805,33,Italy,8.0,it offers a reasonable rate.,Vague 2021,neutral,1
2806,41,Italy,7.0,she was the only one to lend,Vague 2021,neutral,1
2807,42,France,5.0,no problems encountered with this organization at the moment.,Vague 2021,negative,0
2808,24,Italy,9.0,dfgy,Vague 2021,positive,2
2809,39,Italy,7.0,,Vague 2021,neutral,1
2810,54,Italy,6.0,,Vague 2021,negative,0
2812,38,Italy,10.0,i have been a customer for many years and i feel good,Vague 2021,positive,2
2813,26,France,7.0,it's good and effective,Vague 2021,neutral,1
2814,55,France,6.0,very expensive,Vague 2021,negative,0
2815,55,Italy,7.0,easy to understand reporting,Vague 2021,neutral,1
2816,42,Italy,9.0,it is very useful,Vague 2021,positive,2
2817,37,Italy,8.0,i feel good,Vague 2021,neutral,1
2818,46,Italy,6.0,competitive interesting,Vague 2021,negative,0
2819,64,Italy,10.0,reliability and competence,Vague 2021,positive,2
2820,57,Italy,6.0,reliable but expensive and a lot of bureaucracy,Vague 2021,negative,0
2821,23,Italy,7.0,hello,Vague 2021,neutral,1
2822,48,Italy,6.0,interesting,Vague 2021,negative,0
2823,27,Italy,9.0,i am very good,Vague 2021,positive,2
2824,67,France,7.0,"simplicity, entitles you to advantages or reductions.",Vague 2021,neutral,1
2825,64,France,8.0,"satisfied, but difficult to find information on their site",Vague 2021,neutral,1
2826,40,Italy,8.0,good quality-price ratio,Vague 2021,neutral,1
2828,37,France,4.0,we never end this credit,Vague 2021,negative,0
2829,45,France,7.0,serious quality,Vague 2021,neutral,1
2830,47,Italy,9.0,they are efficient,Vague 2021,positive,2
2831,43,Italy,8.0,lots of faith in it,Vague 2021,neutral,1
2832,69,France,7.0,serious but quite high rate,Vague 2021,neutral,1
2833,33,Italy,7.0,because i think it is correct,Vague 2021,neutral,1
2834,41,France,8.0,because i have always been satisfied,Vague 2021,neutral,1
2835,41,France,5.0,,Vague 2021,negative,0
2836,64,France,10.0,no problem with this organization,Vague 2021,positive,2
2837,64,France,9.0,aa,Vague 2021,positive,2
2838,43,France,5.0,excessive rate ease of obtaining the loan,Vague 2021,negative,0
2839,32,Italy,7.0,because he is always close to me and helps me in my goals,Vague 2021,neutral,1
2840,23,France,8.0,good,Vague 2021,neutral,1
2841,55,France,8.0,in,Vague 2021,neutral,1
2842,30,Italy,5.0,good,Vague 2021,negative,0
2843,46,France,6.0,subscription and use have gone well so far.,Vague 2021,negative,0
2844,55,Italy,8.0,i never had any problems when i applied for funding,Vague 2021,neutral,1
2845,52,Italy,6.0,i did it quickly and easily.,Vague 2021,negative,0
2846,56,Italy,5.0,i do not trust,Vague 2021,negative,0
2847,38,Italy,9.0,ease and timing,Vague 2021,positive,2
2848,40,Italy,5.0,few branches and few employees,Vague 2021,negative,0
2849,54,Italy,10.0,i've always enjoyed it,Vague 2021,positive,2
2850,62,Italy,2.0,the interests are too high,Vague 2021,negative,0
2851,64,Italy,5.0,and the first time i use psa i still have no reasonable comparisons,Vague 2021,negative,0
2852,76,France,6.0,conditions are not always optimal,Vague 2021,negative,0
2853,42,Italy,2.0,"i absolutely dislike it, they don't do things correctly and put very high rates if an installment is paid one day late",Vague 2021,negative,0
2854,38,France,6.0,this credit is practiced to stagger its payments but the rate is high,Vague 2021,negative,0
2855,53,Italy,9.0,serious and reliable,Vague 2021,positive,2
2856,57,Italy,7.0,reliable but difficult to contact,Vague 2021,neutral,1
2857,24,Italy,7.0,it's great,Vague 2021,neutral,1
2858,69,France,4.0,more concerned,Vague 2021,negative,0
2859,48,Italy,6.0,they are all the same,Vague 2021,negative,0
2860,27,France,7.0,good opinion,Vague 2021,neutral,1
2861,51,Italy,8.0,so far all right,Vague 2021,neutral,1
2862,55,France,7.0,clear contract precie,Vague 2021,neutral,1
2863,61,France,6.0,correct,Vague 2021,negative,0
2864,49,Italy,6.0,i still don't quite understand who i'm dealing with,Vague 2021,negative,0
2865,63,France,8.0,no administrative problem,Vague 2021,neutral,1
2866,57,Italy,10.0,everything is fine,Vague 2021,positive,2
2867,38,Italy,6.0,i do not know,Vague 2021,negative,0
2868,42,France,9.0,"no problem with them, they handled everything",Vague 2021,positive,2
2869,56,Italy,7.0,interest is typically high unless you take advantage of a promotion,Vague 2021,neutral,1
2870,63,Italy,8.0,fast low interest loan,Vague 2021,neutral,1
2871,31,Italy,8.0,great products,Vague 2021,neutral,1
2872,50,Italy,7.0,it is a reliable bank but with expensive services,Vague 2021,neutral,1
2873,65,France,9.0,i am satisfied with this credit company,Vague 2021,positive,2
2874,64,Italy,7.0,the information received during the subscription phase was not completely correct and it was easy to make mistakes between paying at the end of the month and paying them unnecessarily paying extra commissions.,Vague 2021,neutral,1
2875,58,Italy,6.0,high interests,Vague 2021,negative,0
2876,34,Italy,5.0,high rate,Vague 2021,negative,0
2877,58,France,10.0,the serious,Vague 2021,positive,2
2878,68,France,10.0,i have been a customer of this organization for many years and never had any problems.,Vague 2021,positive,2
2879,56,France,7.0,very good organization,Vague 2021,neutral,1
2880,56,Italy,10.0,treats its customers well,Vague 2021,positive,2
2881,62,France,6.0,because it is not a free credit but which is very practical,Vague 2021,negative,0
2882,28,Italy,7.0,"high interest, proximity to the branch and convenience of payment",Vague 2021,neutral,1
2883,29,Italy,6.0,reliable,Vague 2021,negative,0
2884,75,France,5.0,no better for each other,Vague 2021,negative,0
2885,45,Italy,5.0,bad,Vague 2021,negative,0
2886,45,Italy,10.0,efficiency of services and availability,Vague 2021,positive,2
2887,31,Italy,7.0,good,Vague 2021,neutral,1
2888,34,France,5.0,good service,Vague 2021,negative,0
2889,71,Italy,8.0,it was a modest loan and there was no problem with its disbursement or request for particular documents,Vague 2021,neutral,1
2890,35,France,5.0,classic,Vague 2021,negative,0
2891,43,France,6.0,ras,Vague 2021,negative,0
2892,31,Italy,5.0,because i didn't like it,Vague 2021,negative,0
2893,59,Italy,9.0,for the clarity of the report without additional costs and proximity to consumer problems,Vague 2021,positive,2
2894,42,Italy,0.0,i found myself very bad especially in the covid period,Vague 2021,negative,0
2895,26,France,6.0,iohkj,Vague 2021,negative,0
2896,51,Italy,7.0,iok,Vague 2021,neutral,1
2897,61,France,9.0,good design possibility of delay.2 maturities al yearpu to repay in full correct rate,Vague 2021,positive,2
2898,24,Italy,8.0,i am quite satisfied,Vague 2021,neutral,1
2899,40,France,8.0,quality of the file,Vague 2021,neutral,1
2900,46,Italy,8.0,professionalism,Vague 2021,neutral,1
2901,51,France,8.0,i was delighted with the way the loan was taken,Vague 2021,neutral,1
2902,45,Italy,6.0,very picky and arrogant,Vague 2021,negative,0
2903,53,Italy,8.0,i feel good,Vague 2021,neutral,1
2904,30,Italy,6.0,i am decently,Vague 2021,negative,0
2905,74,France,9.0,this is serious !,Vague 2021,positive,2
2906,49,France,6.0,not a fan of credits,Vague 2021,negative,0
2907,70,France,7.0,nobody is perfect,Vague 2021,neutral,1
2908,44,Italy,5.0,just be late in paying an installment and no longer grant loans,Vague 2021,negative,0
2909,45,Italy,8.0,offers zero-rate purchases at your favorite online stores,Vague 2021,neutral,1
2910,22,France,3.0,she deserves,Vague 2021,negative,0
2911,73,Italy,7.0,not having any kind of personal relationship i would not know what to say as the charge is monthly,Vague 2021,neutral,1
2912,42,Italy,10.0,reliable,Vague 2021,positive,2
2913,45,France,8.0,it's cool i like it,Vague 2021,neutral,1
2914,29,Italy,10.0,i got a great deal on this loan. i bought the car and am satisfied with the contractual terms of the loan,Vague 2021,positive,2
2916,59,France,9.0,it's fast credit,Vague 2021,positive,2
2917,42,Italy,8.0,i've never had any problems whatsoever,Vague 2021,neutral,1
2918,49,Italy,8.0,solid and reliable company but not very communicative,Vague 2021,neutral,1
2919,53,Italy,8.0,simple and fast practices. easy to take out and to pay,Vague 2021,neutral,1
2920,29,Italy,6.0,"friendly, a bit slow the procedure, always available",Vague 2021,negative,0
2921,66,France,8.0,in,Vague 2021,neutral,1
2922,77,France,8.0,delighted to have borrowed from them no problems with this organization,Vague 2021,neutral,1
2923,70,France,6.0,it is a credit among many others neither better nor worse i find it practical but you still have to manage your budget well,Vague 2021,negative,0
2924,66,France,8.0,very simple for the formalities,Vague 2021,neutral,1
2925,37,Italy,8.0,great,Vague 2021,neutral,1
2926,47,France,7.0,simplicity,Vague 2021,neutral,1
2927,24,Italy,7.0,good agency,Vague 2021,neutral,1
2928,60,Italy,6.0,"without infamy and without praise, it is one of the many financial companies that grant installments",Vague 2021,negative,0
2929,36,Italy,7.0,i've always enjoyed it,Vague 2021,neutral,1
2930,63,France,7.0,flexible credit with no surprises,Vague 2021,neutral,1
2931,31,Italy,6.0,quality and professionalism,Vague 2021,negative,0
2932,50,Italy,10.0,excellent solution,Vague 2021,positive,2
2933,39,Italy,10.0,excellent credit institution,Vague 2021,positive,2
2934,54,Italy,10.0,"they are very fast, reliable, credible, attentive to the customer",Vague 2021,positive,2
2935,62,Italy,7.0,a bit high interest rate,Vague 2021,neutral,1
2936,51,Italy,8.0,i think it's a pretty painless way to buy products when you don't have the financial resources at the time of purchase,Vague 2021,neutral,1
2937,69,France,5.0,pouse for consumption,Vague 2021,negative,0
2938,44,France,10.0,very well,Vague 2021,positive,2
2939,38,Italy,5.0,obsessive in phone calls,Vague 2021,negative,0
2940,42,Italy,4.0,i do not know her,Vague 2021,negative,0
2941,31,France,10.0,,Vague 2021,positive,2
2942,56,France,5.0,they did not bother me to take a revolving credit,Vague 2021,negative,0
2943,37,Italy,10.0,lower interest rate,Vague 2021,positive,2
2944,70,France,10.0,because i have already had credits with this very developed company and which gave me complete satisfaction when setting up the credit,Vague 2021,positive,2
2945,60,France,8.0,interest rates are low,Vague 2021,neutral,1
2946,48,Italy,6.0,they could do better in customer support,Vague 2021,negative,0
2947,36,Italy,7.0,i do not know,Vague 2021,neutral,1
2948,41,Italy,6.0,personal reasons.,Vague 2021,negative,0
2949,28,Italy,9.0,,Vague 2021,positive,2
2950,29,Italy,7.0,i had a good time,Vague 2021,neutral,1
2951,65,France,7.0,no problem with this organization,Vague 2021,neutral,1
2952,58,Italy,7.0,i didn't have any kind of problem,Vague 2021,neutral,1
2953,39,France,6.0,enough confidence but not enough experience to rate higher,Vague 2021,negative,0
2954,70,Italy,8.0,found professional and quick people in issuing the loan,Vague 2021,neutral,1
2955,65,Italy,8.0,serious and fast,Vague 2021,neutral,1
2956,33,France,3.0,nuxe,Vague 2021,negative,0
2957,32,France,5.0,because they take samples without consent,Vague 2021,negative,0
2958,60,Italy,8.0,speed and understanding,Vague 2021,neutral,1
2959,51,Italy,9.0,they are definitely at the forefront of this sector,Vague 2021,positive,2
2960,57,Italy,10.0,i do not know,Vague 2021,positive,2
2961,21,Italy,6.0,does his duty,Vague 2021,negative,0
2962,46,France,7.0,a loan that is easy to take out without a lot of formality but which turns out to be expensive,Vague 2021,neutral,1
2963,76,France,8.0,"no worries about getting the credit, i'm waiting for the end of credit certificate",Vague 2021,neutral,1
2964,32,Italy,7.0,nice,Vague 2021,neutral,1
2965,61,France,7.0,"ease of procedures, speed of payment",Vague 2021,neutral,1
2966,67,France,6.0,reactivite,Vague 2021,negative,0
2967,40,Italy,6.0,jhlk,Vague 2021,negative,0
2968,59,Italy,6.0,"unfortunately, when it is necessary to repay the interests are high",Vague 2021,negative,0
2969,31,France,2.0,are not friendly or concimiant,Vague 2021,negative,0
2970,39,France,0.0,scam,Vague 2021,negative,0
2971,40,Italy,5.0,high rate,Vague 2021,negative,0
2972,40,Italy,8.0,good service,Vague 2021,neutral,1
2973,67,Italy,10.0,"reliability, precision, ease of execution",Vague 2021,positive,2
2974,30,Italy,7.0,excellent,Vague 2021,neutral,1
2975,67,France,5.0,cetelem is quite expensive and difficult to renegotiate,Vague 2021,negative,0
2976,24,Italy,8.0,great promotions,Vague 2021,neutral,1
2977,55,France,8.0,do not know,Vague 2021,neutral,1
2978,68,Italy,6.0,because it is neither worse nor better than others,Vague 2021,negative,0
2979,58,Italy,10.0,because it is a serious bank,Vague 2021,positive,2
2980,68,France,9.0,no problems encountered.,Vague 2021,positive,2
2981,42,France,0.0,who would want to recommend a vampire to their loved ones?,Vague 2021,negative,0
2982,21,Italy,7.0,fair quality,Vague 2021,neutral,1
2983,73,France,9.0,"the dealer took care of the entire credit file, the electronic signature is very practical. i received all the documents online, it was very easy for me. crã©dipar is a very serious credit company",Vague 2021,positive,2
2984,26,France,8.0,good service,Vague 2021,neutral,1
2985,69,France,9.0,this credit was associated with an extended warranty,Vague 2021,positive,2
2986,33,Italy,8.0,quick and simple credit granting methods,Vague 2021,neutral,1
2987,54,France,10.0,"because everything was clearly explained before the subscription, the contract is clear. we already had this type of contract with them for a previous vehicle and we were satisfied with it.",Vague 2021,positive,2
2988,50,France,6.0,ras,Vague 2021,negative,0
2989,49,Italy,6.0,i am not yet familiar with the service,Vague 2021,negative,0
2990,36,Italy,6.0,i had no problem with them,Vague 2021,negative,0
2991,71,France,8.0,"classic formalities, without complications",Vague 2021,neutral,1
2992,25,Italy,5.0,without infamy without praise,Vague 2021,negative,0
2994,68,Italy,8.0,"seriousness, trust, safety",Vague 2021,neutral,1
2995,45,France,6.0,reliability,Vague 2021,negative,0
2996,59,France,5.0,rate too high,Vague 2021,negative,0
2997,62,Italy,2.0,too expensive in the end,Vague 2021,negative,0
2998,36,France,8.0,"counselor listening, simple and fast file",Vague 2021,neutral,1
2999,52,France,8.0,simple,Vague 2021,neutral,1
3000,53,Italy,8.0,it is a serious company,Vague 2021,neutral,1
3001,52,France,8.0,because the contract is well drafted and understandable by a non-specialist,Vague 2021,neutral,1
3002,46,France,3.0,too expensive,Vague 2021,negative,0
3003,45,France,7.0,"serious, affordable",Vague 2021,neutral,1
3004,74,France,7.0,it is a good establishment,Vague 2021,neutral,1
3005,54,Italy,4.0,quality of services in free fall,Vague 2021,negative,0
3006,62,France,8.0,good advice,Vague 2021,neutral,1
3007,40,Italy,7.0,they managed to meet my requests,Vague 2021,neutral,1
3008,47,France,5.0,their online site never works. little information transmitted,Vague 2021,negative,0
3009,68,France,8.0,"i have already used credits from this organization without problems, attractive rate, payment several times without charge",Vague 2021,neutral,1
3010,55,France,4.0,no respect for their client,Vague 2021,negative,0
3011,57,Italy,3.0,farraginosa and bureaucratized,Vague 2021,negative,0
3012,39,Italy,8.0,i got a good interest rate,Vague 2021,neutral,1
3013,49,France,9.0,"reliable, clear",Vague 2021,positive,2
3014,71,France,7.0,efficiency in credit application follow-up,Vague 2021,neutral,1
3015,58,Italy,5.0,interest too high,Vague 2021,negative,0
3016,47,France,8.0,no particular problem,Vague 2021,neutral,1
3017,68,Italy,1.0,i am reluctant to give advice and practically never do,Vague 2021,negative,0
3018,60,Italy,7.0,trust,Vague 2021,neutral,1
3019,60,France,5.0,the interest rate is too high,Vague 2021,negative,0
3020,64,Italy,8.0,no problem,Vague 2021,neutral,1
3021,66,France,10.0,speed in the acceptance of the file,Vague 2021,positive,2
3022,71,France,8.0,reliability,Vague 2021,neutral,1
3024,65,France,8.0,serious,Vague 2021,neutral,1
3025,50,France,8.0,no problem with them. if we are correct they are too,Vague 2021,neutral,1
3026,29,Italy,6.0,overall it is among the best,Vague 2021,negative,0
3027,36,France,10.0,"available, efficient.",Vague 2021,positive,2
3028,71,France,8.0,"serious organization, meets the expectations of their customers",Vague 2021,neutral,1
3030,24,Italy,8.0,i had no problem activating the loan and the rates seem to me to be average,Vague 2021,neutral,1
3031,42,France,7.0,it is easy to take out a loan with them without too much paperwork,Vague 2021,neutral,1
3032,50,Italy,10.0,unicredit is transparent and effective it is very important to always have an answer to the question,Vague 2021,positive,2
3033,25,Italy,5.0,because we didn't like it,Vague 2021,negative,0
3034,61,France,5.0,many documents not always very clear,Vague 2021,negative,0
3035,46,France,8.0,simplicity,Vague 2021,neutral,1
3036,62,France,7.0,gives good credit with little interest,Vague 2021,neutral,1
3037,65,France,5.0,free credit but credit insurance with too high a percentage,Vague 2021,negative,0
3038,51,France,6.0,i don't really know this bank,Vague 2021,negative,0
3039,65,Italy,9.0,they are serious and competent,Vague 2021,positive,2
3040,53,Italy,7.0,nothing to say,Vague 2021,neutral,1
3041,49,Italy,10.0,precise,Vague 2021,positive,2
3042,25,France,7.0,she's not bad or exceptional,Vague 2021,neutral,1
3043,46,France,10.0,"good follow-up, good customer service, easy credit start-up",Vague 2021,positive,2
3044,35,Italy,8.0,very good,Vague 2021,neutral,1
3045,62,France,9.0,credit house serious and very attentive to customers,Vague 2021,positive,2
3046,56,Italy,1.0,oppressive and threatening,Vague 2021,negative,0
3047,24,Italy,7.0,i feel good,Vague 2021,neutral,1
3048,53,Italy,7.0,efficiency and speed,Vague 2021,neutral,1
3049,46,Italy,9.0,because it helps the customer,Vague 2021,positive,2
3050,71,France,2.0,too expensive,Vague 2021,negative,0
3051,37,Italy,8.0,the loan arrived on schedule,Vague 2021,neutral,1
3052,60,Italy,9.0,"fast practices, good customer service.",Vague 2021,positive,2
3053,68,France,10.0,i have dealt with them several times for work around the house and have never had a problem.,Vague 2021,positive,2
3054,68,Italy,6.0,a little high interest rate,Vague 2021,negative,0
3055,43,Italy,8.0,for now everything is fine,Vague 2021,neutral,1
3056,33,Italy,7.0,they were very kind,Vague 2021,neutral,1
3057,42,Italy,8.0,we enjoyed it,Vague 2021,neutral,1
3058,65,Italy,7.0,interest rates at the limit of convenience,Vague 2021,neutral,1
3059,40,Italy,7.0,i never had problems,Vague 2021,neutral,1
3060,41,France,10.0,no particular concern,Vague 2021,positive,2
3061,31,France,9.0,good overall,Vague 2021,positive,2
3062,65,Italy,8.0,i have nothing to complain about but have had few relationships to be able to give 10,Vague 2021,neutral,1
3063,35,France,8.0,james,Vague 2021,neutral,1
3064,39,Italy,8.0,very interesting and comfortable,Vague 2021,neutral,1
3065,67,France,8.0,well organized competitive rate,Vague 2021,neutral,1
3066,47,France,4.0,their customer service is very bad,Vague 2021,negative,0
3067,24,France,7.0,"individual, serious and professional ras",Vague 2021,neutral,1
3068,34,Italy,4.0,excellent,Vague 2021,negative,0
3069,25,France,10.0,,Vague 2021,positive,2
3070,38,Italy,7.0,good rates and trained staff,Vague 2021,neutral,1
3071,23,France,6.0,,Vague 2021,negative,0
3072,49,France,4.0,in,Vague 2021,negative,0
3073,69,France,8.0,satisfied,Vague 2021,neutral,1
3074,56,France,8.0,serious and flexible,Vague 2021,neutral,1
3075,49,France,8.0,simplicity and efficiency,Vague 2021,neutral,1
3076,41,Italy,4.0,i find it without infamy and without praise,Vague 2021,negative,0
3077,45,Italy,6.0,good cost-benefit ratio,Vague 2021,negative,0
3078,24,Italy,8.0,reliable,Vague 2021,neutral,1
3079,53,Italy,4.0,interest rate too high,Vague 2021,negative,0
3080,46,Italy,7.0,i was fine,Vague 2021,neutral,1
3081,31,Italy,8.0,great product,Vague 2021,neutral,1
3082,26,Italy,8.0,"available, never had any problems",Vague 2021,neutral,1
3083,46,Italy,8.0,"reliability, practical speed and delivery",Vague 2021,neutral,1
3084,35,France,6.0,in,Vague 2021,negative,0
3085,60,Italy,8.0,and i know,Vague 2021,neutral,1
3086,35,France,5.0,"nothing particular to report against them, positive or negative",Vague 2021,negative,0
3087,63,France,7.0,i have had no problems with this organization.,Vague 2021,neutral,1
3088,63,France,3.0,nothingness,Vague 2021,negative,0
3089,53,Italy,5.0,,Vague 2021,negative,0
3090,35,Italy,10.0,trust me,Vague 2021,positive,2
3091,32,Italy,9.0,i find the institute serious and recommendable,Vague 2021,positive,2
3092,53,France,8.0,easy,Vague 2021,neutral,1
3093,53,France,7.0,no problem with them,Vague 2021,neutral,1
3094,55,Italy,10.0,well organized,Vague 2021,positive,2
3095,51,Italy,8.0,,Vague 2021,neutral,1
3096,57,France,6.0,important rate,Vague 2021,negative,0
3097,63,France,8.0,"file easy to do, quick response, attractive rate",Vague 2021,neutral,1
3098,41,Italy,8.0,safe,Vague 2021,neutral,1
3099,36,Italy,8.0,the best,Vague 2021,neutral,1
3100,60,France,8.0,i am satisfied,Vague 2021,neutral,1
3101,50,France,10.0,efficient and serious,Vague 2021,positive,2
3102,68,France,8.0,speed of response and agreement. competence of staff.,Vague 2021,neutral,1
3103,24,France,10.0,"excellent service, accommodating, easy and simple",Vague 2021,positive,2
3104,44,Italy,8.0,i feel good,Vague 2021,neutral,1
3105,70,France,8.0,satisfied with the rate,Vague 2021,neutral,1
3106,58,France,5.0,i have no problems with them,Vague 2021,negative,0
3107,56,Italy,8.0,"serious, reliable, competent, somewhat high interests.",Vague 2021,neutral,1
3108,47,Italy,5.0,"it is not easy to communicate with the managers, they are very strict, it is impossible to choose a date to pay the installment, and you find yourself in difficulty because if you have to pay the 10th of the month when the salary arrives on the 15th they make you pay more absurd. they do not generally meet those who apply for a loan, if one had the money they would not have recourse to financing, even for the lockdown period they were more flexible, with people who lost their jobs and found themselves in serious difficulty. among other things, some respond with arrogance without a minimum of understanding. these agencies will continue to be there just because the usurers are worse off. i understand that it is their job, but humanity is not something that distinguishes these agencies. (this is an example with another financial institution but it works like this with all of them, by now i know it well, unfortunately! my mother fell ill with leukemia, although we had asked to stop the loan because my mother no longer received salaries after six months of absence from work, and we had already started the procedure for the insurance claim, we still had to pay the five months of time that they took for the bureaucracy of their own to sign a sheet in which they accepted the illness, which turned out to be deadly then, and then stopped the installments to ask for reimbursement from the insurance ... they promised us the reimbursement starting from the date of the request, five months earlier ... in reality, assuming an excuse, for the expenses due they only refunded us three months and they didn't want to refund even those). i find inhumane the way they treat some people who resort to financing, for example i have never made a loan to buy a mobile phone or a tv (which i see common among ""normal"" people who have a steady job), i had to do it one to be able to buy me a car because mine was destroyed by an unconscious who was going to 120 on a curve and who disintegrated it in the parking lot inside the house, not outside, inside the house, which, however old it was, did its duty , and the insurance has evaluated me a pittance! i believe that financial companies today are really like loan sharks, they choose everything, the day, the amount, the insurance, the number of installments and the percentage of theft that you pay them.",Vague 2021,negative,0
3109,42,Italy,6.0,i like,Vague 2021,negative,0
3110,60,Italy,8.0,quick and fast,Vague 2021,neutral,1
3111,75,Italy,9.0,fast times and lower interest rates than other financial institutions,Vague 2021,positive,2
3112,34,France,6.0,top,Vague 2021,negative,0
3113,30,Italy,8.0,sure,Vague 2021,neutral,1
3114,69,France,2.0,too expensive!!!!!,Vague 2021,negative,0
3115,47,Italy,7.0,good value for money and transparency of the products,Vague 2021,neutral,1
3116,38,Italy,8.0,because he loves it,Vague 2021,neutral,1
3117,32,France,10.0,serious reassuring attentive clear,Vague 2021,positive,2
3118,41,Italy,6.0,i don't like paying in installments,Vague 2021,negative,0
3119,34,Italy,7.0,low interest rate,Vague 2021,neutral,1
3120,48,Italy,7.0,little available,Vague 2021,neutral,1
3121,49,Italy,10.0,optimal,Vague 2021,positive,2
3122,53,Italy,10.0,good rate and great customer service,Vague 2021,positive,2
3123,44,Italy,6.0,efficiency,Vague 2021,negative,0
3124,37,Italy,7.0,no worries and low rates,Vague 2021,neutral,1
3125,21,France,2.0,jdjd,Vague 2021,negative,0
3126,47,France,8.0,good product overall,Vague 2021,neutral,1
3127,45,Italy,8.0,i didn't have any problems,Vague 2021,neutral,1
3128,28,Italy,10.0,excellent company. very serious,Vague 2021,positive,2
3129,45,France,9.0,very clear. credit associated with a car warranty extension,Vague 2021,positive,2
3130,71,Italy,8.0,efficient but obligatory choice,Vague 2021,neutral,1
3131,53,France,6.0,ras,Vague 2021,negative,0
3132,73,France,8.0,very serious. withdrawals on fixed dates. rate no surprise,Vague 2021,neutral,1
3133,73,Italy,8.0,,Vague 2021,neutral,1
3134,71,France,10.0,speed of agreement,Vague 2021,positive,2
3135,57,Italy,6.0,no problem,Vague 2021,negative,0
3136,44,Italy,8.0,"tips, accurate in reporting",Vague 2021,neutral,1
3137,67,France,9.0,good credit but still too expensive,Vague 2021,positive,2
3138,55,France,8.0,it suits my wishes,Vague 2021,neutral,1
3139,72,Italy,9.0,quick solutions,Vague 2021,positive,2
3140,64,France,8.0,"simplicity, clarity of the contract",Vague 2021,neutral,1
3141,71,France,6.0,ras,Vague 2021,negative,0
3142,44,France,8.0,that's a good mark,Vague 2021,neutral,1
3143,64,Italy,7.0,in,Vague 2021,neutral,1
3145,58,Italy,7.0,good service,Vague 2021,neutral,1
3146,42,Italy,8.0,useful and effective,Vague 2021,neutral,1
3147,60,Italy,8.0,"seriousness, speed, transparency",Vague 2021,neutral,1
3148,26,France,10.0,reasons,Vague 2021,positive,2
3149,40,Italy,7.0,credit in line with the rates proposed by the car manufacturer,Vague 2021,neutral,1
3150,66,France,8.0,i applied for this consumer credit to buy my car and ensure that it remains under warranty during the repayment of my loan and i was able to benefit from warranty coverage for a repair,Vague 2021,neutral,1
3151,64,France,8.0,everything has gone well so far,Vague 2021,neutral,1
