,age,Country,A1,A2_translation,vague,real_polarity_class,real_polarity,cut_words,letters,comment_length,cleaned_comment
2709,68,Italy,9.0,"always found good, i have been a customer for many years",Vague 2021,positive,1,"['always', 'found', 'good,', 'i', 'have', 'been', 'a', 'customer', 'for', 'many', 'years']","['a', 'l', 'w', 'a', 'y', 's', ' ', 'f', 'o', 'u', 'n', 'd', ' ', 'g', 'o', 'o', 'd', ',', ' ', 'i', ' ', 'h', 'a', 'v', 'e', ' ', 'b', 'e', 'e', 'n', ' ', 'a', ' ', 'c', 'u', 's', 't', 'o', 'm', 'e', 'r', ' ', 'f', 'o', 'r', ' ', 'm', 'a', 'n', 'y', ' ', 'y', 'e', 'a', 'r', 's']",11,always found good customer many years
2713,53,France,10.0,if no particular problems with refunds everything goes well. i contract a credit i make sure to honor it. like in any bank,Vague 2021,positive,1,"['if', 'no', 'particular', 'problems', 'with', 'refunds', 'everything', 'goes', 'well.', 'i', 'contract', 'a', 'credit', 'i', 'make', 'sure', 'to', 'honor', 'it.', 'like', 'in', 'any', 'bank']","['i', 'f', ' ', 'n', 'o', ' ', 'p', 'a', 'r', 't', 'i', 'c', 'u', 'l', 'a', 'r', ' ', 'p', 'r', 'o', 'b', 'l', 'e', 'm', 's', ' ', 'w', 'i', 't', 'h', ' ', 'r', 'e', 'f', 'u', 'n', 'd', 's', ' ', 'e', 'v', 'e', 'r', 'y', 't', 'h', 'i', 'n', 'g', ' ', 'g', 'o', 'e', 's', ' ', 'w', 'e', 'l', 'l', '.', ' ', 'i', ' ', 'c', 'o', 'n', 't', 'r', 'a', 'c', 't', ' ', 'a', ' ', 'c', 'r', 'e', 'd', 'i', 't', ' ', 'i', ' ', 'm', 'a', 'k', 'e', ' ', 's', 'u', 'r', 'e', ' ', 't', 'o', ' ', 'h', 'o', 'n', 'o', 'r', ' ', 'i', 't', '.', ' ', 'l', 'i', 'k', 'e', ' ', 'i', 'n', ' ', 'a', 'n', 'y', ' ', 'b', 'a', 'n', 'k']",23,particular problems refunds everything goes well contract credit make sure honor like
2714,48,France,4.0,good,Vague 2021,negative,0,['good'],"['g', 'o', 'o', 'd']",1,good
2715,52,France,9.0,in,Vague 2021,positive,1,['in'],"['i', 'n']",1,
2716,51,Italy,9.0,i feel good,Vague 2021,positive,1,"['i', 'feel', 'good']","['i', ' ', 'f', 'e', 'e', 'l', ' ', 'g', 'o', 'o', 'd']",3,feel good
2717,54,France,10.0,"promptness, easy file, speed, professionalism.",Vague 2021,positive,1,"['promptness,', 'easy', 'file,', 'speed,', 'professionalism.']","['p', 'r', 'o', 'm', 'p', 't', 'n', 'e', 's', 's', ',', ' ', 'e', 'a', 's', 'y', ' ', 'f', 'i', 'l', 'e', ',', ' ', 's', 'p', 'e', 'e', 'd', ',', ' ', 'p', 'r', 'o', 'f', 'e', 's', 's', 'i', 'o', 'n', 'a', 'l', 'i', 's', 'm', '.']",5,promptness easy file speed professionalism
2719,46,Italy,9.0,"very professional, very serious",Vague 2021,positive,1,"['very', 'professional,', 'very', 'serious']","['v', 'e', 'r', 'y', ' ', 'p', 'r', 'o', 'f', 'e', 's', 's', 'i', 'o', 'n', 'a', 'l', ',', ' ', 'v', 'e', 'r', 'y', ' ', 's', 'e', 'r', 'i', 'o', 'u', 's']",4,professional serious
2720,74,Italy,4.0,too stiff,Vague 2021,negative,0,"['too', 'stiff']","['t', 'o', 'o', ' ', 's', 't', 'i', 'f', 'f']",2,stiff
2722,49,Italy,5.0,do not like,Vague 2021,negative,0,"['do', 'not', 'like']","['d', 'o', ' ', 'n', 'o', 't', ' ', 'l', 'i', 'k', 'e']",3,like
2725,37,Italy,10.0,i was fine,Vague 2021,positive,1,"['i', 'was', 'fine']","['i', ' ', 'w', 'a', 's', ' ', 'f', 'i', 'n', 'e']",3,fine
2727,48,Italy,6.0,celerity,Vague 2021,negative,0,['celerity'],"['c', 'e', 'l', 'e', 'r', 'i', 't', 'y']",1,celerity
2728,25,Italy,6.0,in,Vague 2021,negative,0,['in'],"['i', 'n']",1,
2729,65,Italy,9.0,"correctness, seriousness, transparency",Vague 2021,positive,1,"['correctness,', 'seriousness,', 'transparency']","['c', 'o', 'r', 'r', 'e', 'c', 't', 'n', 'e', 's', 's', ',', ' ', 's', 'e', 'r', 'i', 'o', 'u', 's', 'n', 'e', 's', 's', ',', ' ', 't', 'r', 'a', 'n', 's', 'p', 'a', 'r', 'e', 'n', 'c', 'y']",3,correctness seriousness transparency
2731,62,Italy,6.0,high interests,Vague 2021,negative,0,"['high', 'interests']","['h', 'i', 'g', 'h', ' ', 'i', 'n', 't', 'e', 'r', 'e', 's', 't', 's']",2,high interests
2732,45,Italy,9.0,they are serious,Vague 2021,positive,1,"['they', 'are', 'serious']","['t', 'h', 'e', 'y', ' ', 'a', 'r', 'e', ' ', 's', 'e', 'r', 'i', 'o', 'u', 's']",3,serious
2733,47,France,9.0,ras,Vague 2021,positive,1,['ras'],"['r', 'a', 's']",1,ras
2734,56,Italy,10.0,"great customer support, too bad they don't give gifts",Vague 2021,positive,1,"['great', 'customer', 'support,', 'too', 'bad', 'they', ""don't"", 'give', 'gifts']","['g', 'r', 'e', 'a', 't', ' ', 'c', 'u', 's', 't', 'o', 'm', 'e', 'r', ' ', 's', 'u', 'p', 'p', 'o', 'r', 't', ',', ' ', 't', 'o', 'o', ' ', 'b', 'a', 'd', ' ', 't', 'h', 'e', 'y', ' ', 'd', 'o', 'n', ""'"", 't', ' ', 'g', 'i', 'v', 'e', ' ', 'g', 'i', 'f', 't', 's']",9,great customer support bad give gifts
2735,40,Italy,0.0,lack of professionalism of employees,Vague 2021,negative,0,"['lack', 'of', 'professionalism', 'of', 'employees']","['l', 'a', 'c', 'k', ' ', 'o', 'f', ' ', 'p', 'r', 'o', 'f', 'e', 's', 's', 'i', 'o', 'n', 'a', 'l', 'i', 's', 'm', ' ', 'o', 'f', ' ', 'e', 'm', 'p', 'l', 'o', 'y', 'e', 'e', 's']",5,lack professionalism employees
2740,64,Italy,6.0,that i no longer have any faith in banks. too many expenses and little transparency,Vague 2021,negative,0,"['that', 'i', 'no', 'longer', 'have', 'any', 'faith', 'in', 'banks.', 'too', 'many', 'expenses', 'and', 'little', 'transparency']","['t', 'h', 'a', 't', ' ', 'i', ' ', 'n', 'o', ' ', 'l', 'o', 'n', 'g', 'e', 'r', ' ', 'h', 'a', 'v', 'e', ' ', 'a', 'n', 'y', ' ', 'f', 'a', 'i', 't', 'h', ' ', 'i', 'n', ' ', 'b', 'a', 'n', 'k', 's', '.', ' ', 't', 'o', 'o', ' ', 'm', 'a', 'n', 'y', ' ', 'e', 'x', 'p', 'e', 'n', 's', 'e', 's', ' ', 'a', 'n', 'd', ' ', 'l', 'i', 't', 't', 'l', 'e', ' ', 't', 'r', 'a', 'n', 's', 'p', 'a', 'r', 'e', 'n', 'c', 'y']",15,longer faith banks many expenses little transparency
2741,56,France,9.0,very satisfied old customer,Vague 2021,positive,1,"['very', 'satisfied', 'old', 'customer']","['v', 'e', 'r', 'y', ' ', 's', 'a', 't', 'i', 's', 'f', 'i', 'e', 'd', ' ', 'o', 'l', 'd', ' ', 'c', 'u', 's', 't', 'o', 'm', 'e', 'r']",4,satisfied old customer
2742,60,Italy,9.0,secure company,Vague 2021,positive,1,"['secure', 'company']","['s', 'e', 'c', 'u', 'r', 'e', ' ', 'c', 'o', 'm', 'p', 'a', 'n', 'y']",2,secure company
2743,31,Italy,5.0,"simple, but without discounts, neither the top nor the negative",Vague 2021,negative,0,"['simple,', 'but', 'without', 'discounts,', 'neither', 'the', 'top', 'nor', 'the', 'negative']","['s', 'i', 'm', 'p', 'l', 'e', ',', ' ', 'b', 'u', 't', ' ', 'w', 'i', 't', 'h', 'o', 'u', 't', ' ', 'd', 'i', 's', 'c', 'o', 'u', 'n', 't', 's', ',', ' ', 'n', 'e', 'i', 't', 'h', 'e', 'r', ' ', 't', 'h', 'e', ' ', 't', 'o', 'p', ' ', 'n', 'o', 'r', ' ', 't', 'h', 'e', ' ', 'n', 'e', 'g', 'a', 't', 'i', 'v', 'e']",10,simple without discounts neither top negative
2744,23,Italy,6.0,,Vague 2021,negative,0,[],[],0,
2748,36,Italy,6.0,i feel good,Vague 2021,negative,0,"['i', 'feel', 'good']","['i', ' ', 'f', 'e', 'e', 'l', ' ', 'g', 'o', 'o', 'd']",3,feel good
2749,71,Italy,6.0,it is still a debt,Vague 2021,negative,0,"['it', 'is', 'still', 'a', 'debt']","['i', 't', ' ', 'i', 's', ' ', 's', 't', 'i', 'l', 'l', ' ', 'a', ' ', 'd', 'e', 'b', 't']",5,still debt
2750,49,Italy,9.0,i feel good,Vague 2021,positive,1,"['i', 'feel', 'good']","['i', ' ', 'f', 'e', 'e', 'l', ' ', 'g', 'o', 'o', 'd']",3,feel good
2751,64,France,9.0,"always was happy with sofinco, a former commercial employee of this company",Vague 2021,positive,1,"['always', 'was', 'happy', 'with', 'sofinco,', 'a', 'former', 'commercial', 'employee', 'of', 'this', 'company']","['a', 'l', 'w', 'a', 'y', 's', ' ', 'w', 'a', 's', ' ', 'h', 'a', 'p', 'p', 'y', ' ', 'w', 'i', 't', 'h', ' ', 's', 'o', 'f', 'i', 'n', 'c', 'o', ',', ' ', 'a', ' ', 'f', 'o', 'r', 'm', 'e', 'r', ' ', 'c', 'o', 'm', 'm', 'e', 'r', 'c', 'i', 'a', 'l', ' ', 'e', 'm', 'p', 'l', 'o', 'y', 'e', 'e', ' ', 'o', 'f', ' ', 't', 'h', 'i', 's', ' ', 'c', 'o', 'm', 'p', 'a', 'n', 'y']",12,always happy sofinco former commercial employee company
2755,36,France,6.0,never had any problems,Vague 2021,negative,0,"['never', 'had', 'any', 'problems']","['n', 'e', 'v', 'e', 'r', ' ', 'h', 'a', 'd', ' ', 'a', 'n', 'y', ' ', 'p', 'r', 'o', 'b', 'l', 'e', 'm', 's']",4,never problems
2758,58,Italy,6.0,"if possible, for the type and amount requested by me, an installment would not be necessary, we proceeded in this way to make the children responsible",Vague 2021,negative,0,"['if', 'possible,', 'for', 'the', 'type', 'and', 'amount', 'requested', 'by', 'me,', 'an', 'installment', 'would', 'not', 'be', 'necessary,', 'we', 'proceeded', 'in', 'this', 'way', 'to', 'make', 'the', 'children', 'responsible']","['i', 'f', ' ', 'p', 'o', 's', 's', 'i', 'b', 'l', 'e', ',', ' ', 'f', 'o', 'r', ' ', 't', 'h', 'e', ' ', 't', 'y', 'p', 'e', ' ', 'a', 'n', 'd', ' ', 'a', 'm', 'o', 'u', 'n', 't', ' ', 'r', 'e', 'q', 'u', 'e', 's', 't', 'e', 'd', ' ', 'b', 'y', ' ', 'm', 'e', ',', ' ', 'a', 'n', ' ', 'i', 'n', 's', 't', 'a', 'l', 'l', 'm', 'e', 'n', 't', ' ', 'w', 'o', 'u', 'l', 'd', ' ', 'n', 'o', 't', ' ', 'b', 'e', ' ', 'n', 'e', 'c', 'e', 's', 's', 'a', 'r', 'y', ',', ' ', 'w', 'e', ' ', 'p', 'r', 'o', 'c', 'e', 'e', 'd', 'e', 'd', ' ', 'i', 'n', ' ', 't', 'h', 'i', 's', ' ', 'w', 'a', 'y', ' ', 't', 'o', ' ', 'm', 'a', 'k', 'e', ' ', 't', 'h', 'e', ' ', 'c', 'h', 'i', 'l', 'd', 'r', 'e', 'n', ' ', 'r', 'e', 's', 'p', 'o', 'n', 's', 'i', 'b', 'l', 'e']",26,possible type amount requested installment would necessary proceeded way make children responsible
2761,73,France,10.0,"ease, speed, pricing.",Vague 2021,positive,1,"['ease,', 'speed,', 'pricing.']","['e', 'a', 's', 'e', ',', ' ', 's', 'p', 'e', 'e', 'd', ',', ' ', 'p', 'r', 'i', 'c', 'i', 'n', 'g', '.']",3,ease speed pricing
2763,38,Italy,6.0,all simple and clear,Vague 2021,negative,0,"['all', 'simple', 'and', 'clear']","['a', 'l', 'l', ' ', 's', 'i', 'm', 'p', 'l', 'e', ' ', 'a', 'n', 'd', ' ', 'c', 'l', 'e', 'a', 'r']",4,simple clear
2765,72,Italy,10.0,"i buy amazon items, i return in installments ... and i keep buying back",Vague 2021,positive,1,"['i', 'buy', 'amazon', 'items,', 'i', 'return', 'in', 'installments', '...', 'and', 'i', 'keep', 'buying', 'back']","['i', ' ', 'b', 'u', 'y', ' ', 'a', 'm', 'a', 'z', 'o', 'n', ' ', 'i', 't', 'e', 'm', 's', ',', ' ', 'i', ' ', 'r', 'e', 't', 'u', 'r', 'n', ' ', 'i', 'n', ' ', 'i', 'n', 's', 't', 'a', 'l', 'l', 'm', 'e', 'n', 't', 's', ' ', '.', '.', '.', ' ', 'a', 'n', 'd', ' ', 'i', ' ', 'k', 'e', 'e', 'p', ' ', 'b', 'u', 'y', 'i', 'n', 'g', ' ', 'b', 'a', 'c', 'k']",14,buy amazon items return installments keep buying back
2770,70,France,4.0,no match possible,Vague 2021,negative,0,"['no', 'match', 'possible']","['n', 'o', ' ', 'm', 'a', 't', 'c', 'h', ' ', 'p', 'o', 's', 's', 'i', 'b', 'l', 'e']",3,match possible
2771,30,France,9.0,"file easy to assemble, quick agreement in principle, rate 0%",Vague 2021,positive,1,"['file', 'easy', 'to', 'assemble,', 'quick', 'agreement', 'in', 'principle,', 'rate', '0%']","['f', 'i', 'l', 'e', ' ', 'e', 'a', 's', 'y', ' ', 't', 'o', ' ', 'a', 's', 's', 'e', 'm', 'b', 'l', 'e', ',', ' ', 'q', 'u', 'i', 'c', 'k', ' ', 'a', 'g', 'r', 'e', 'e', 'm', 'e', 'n', 't', ' ', 'i', 'n', ' ', 'p', 'r', 'i', 'n', 'c', 'i', 'p', 'l', 'e', ',', ' ', 'r', 'a', 't', 'e', ' ', '0', '%']",10,file easy assemble quick agreement principle rate
2772,29,Italy,9.0,"comfortable, not expensive",Vague 2021,positive,1,"['comfortable,', 'not', 'expensive']","['c', 'o', 'm', 'f', 'o', 'r', 't', 'a', 'b', 'l', 'e', ',', ' ', 'n', 'o', 't', ' ', 'e', 'x', 'p', 'e', 'n', 's', 'i', 'v', 'e']",3,comfortable expensive
2774,52,France,5.0,"credit imposed by peugeot in exchange for an offer, but very high rate!!",Vague 2021,negative,0,"['credit', 'imposed', 'by', 'peugeot', 'in', 'exchange', 'for', 'an', 'offer,', 'but', 'very', 'high', 'rate!!']","['c', 'r', 'e', 'd', 'i', 't', ' ', 'i', 'm', 'p', 'o', 's', 'e', 'd', ' ', 'b', 'y', ' ', 'p', 'e', 'u', 'g', 'e', 'o', 't', ' ', 'i', 'n', ' ', 'e', 'x', 'c', 'h', 'a', 'n', 'g', 'e', ' ', 'f', 'o', 'r', ' ', 'a', 'n', ' ', 'o', 'f', 'f', 'e', 'r', ',', ' ', 'b', 'u', 't', ' ', 'v', 'e', 'r', 'y', ' ', 'h', 'i', 'g', 'h', ' ', 'r', 'a', 't', 'e', '!', '!']",13,credit imposed peugeot exchange offer high rate ! !
2775,49,Italy,5.0,interest too high,Vague 2021,negative,0,"['interest', 'too', 'high']","['i', 'n', 't', 'e', 'r', 'e', 's', 't', ' ', 't', 'o', 'o', ' ', 'h', 'i', 'g', 'h']",3,interest high
2776,18,Italy,9.0,because they are clear fast punctual,Vague 2021,positive,1,"['because', 'they', 'are', 'clear', 'fast', 'punctual']","['b', 'e', 'c', 'a', 'u', 's', 'e', ' ', 't', 'h', 'e', 'y', ' ', 'a', 'r', 'e', ' ', 'c', 'l', 'e', 'a', 'r', ' ', 'f', 'a', 's', 't', ' ', 'p', 'u', 'n', 'c', 't', 'u', 'a', 'l']",6,clear fast punctual
2777,36,France,6.0,they are expensive,Vague 2021,negative,0,"['they', 'are', 'expensive']","['t', 'h', 'e', 'y', ' ', 'a', 'r', 'e', ' ', 'e', 'x', 'p', 'e', 'n', 's', 'i', 'v', 'e']",3,expensive
2778,41,Italy,6.0,i have little trust in banks and financial companies,Vague 2021,negative,0,"['i', 'have', 'little', 'trust', 'in', 'banks', 'and', 'financial', 'companies']","['i', ' ', 'h', 'a', 'v', 'e', ' ', 'l', 'i', 't', 't', 'l', 'e', ' ', 't', 'r', 'u', 's', 't', ' ', 'i', 'n', ' ', 'b', 'a', 'n', 'k', 's', ' ', 'a', 'n', 'd', ' ', 'f', 'i', 'n', 'a', 'n', 'c', 'i', 'a', 'l', ' ', 'c', 'o', 'm', 'p', 'a', 'n', 'i', 'e', 's']",9,little trust banks financial companies
2779,26,Italy,10.0,excellent service,Vague 2021,positive,1,"['excellent', 'service']","['e', 'x', 'c', 'e', 'l', 'l', 'e', 'n', 't', ' ', 's', 'e', 'r', 'v', 'i', 'c', 'e']",2,excellent service
2781,57,Italy,10.0,reliability and affordable,Vague 2021,positive,1,"['reliability', 'and', 'affordable']","['r', 'e', 'l', 'i', 'a', 'b', 'i', 'l', 'i', 't', 'y', ' ', 'a', 'n', 'd', ' ', 'a', 'f', 'f', 'o', 'r', 'd', 'a', 'b', 'l', 'e']",3,reliability affordable
2783,29,France,6.0,i don't know,Vague 2021,negative,0,"['i', ""don't"", 'know']","['i', ' ', 'd', 'o', 'n', ""'"", 't', ' ', 'k', 'n', 'o', 'w']",3,know
2785,52,France,6.0,serious organization but high rate,Vague 2021,negative,0,"['serious', 'organization', 'but', 'high', 'rate']","['s', 'e', 'r', 'i', 'o', 'u', 's', ' ', 'o', 'r', 'g', 'a', 'n', 'i', 'z', 'a', 't', 'i', 'o', 'n', ' ', 'b', 'u', 't', ' ', 'h', 'i', 'g', 'h', ' ', 'r', 'a', 't', 'e']",5,serious organization high rate
2788,45,France,5.0,ghh,Vague 2021,negative,0,['ghh'],"['g', 'h', 'h']",1,ghh
2792,35,Italy,9.0,because it is one of the most solid and well-established institutions of this type,Vague 2021,positive,1,"['because', 'it', 'is', 'one', 'of', 'the', 'most', 'solid', 'and', 'well-established', 'institutions', 'of', 'this', 'type']","['b', 'e', 'c', 'a', 'u', 's', 'e', ' ', 'i', 't', ' ', 'i', 's', ' ', 'o', 'n', 'e', ' ', 'o', 'f', ' ', 't', 'h', 'e', ' ', 'm', 'o', 's', 't', ' ', 's', 'o', 'l', 'i', 'd', ' ', 'a', 'n', 'd', ' ', 'w', 'e', 'l', 'l', '-', 'e', 's', 't', 'a', 'b', 'l', 'i', 's', 'h', 'e', 'd', ' ', 'i', 'n', 's', 't', 'i', 't', 'u', 't', 'i', 'o', 'n', 's', ' ', 'o', 'f', ' ', 't', 'h', 'i', 's', ' ', 't', 'y', 'p', 'e']",14,one solid well established institutions type
2796,57,Italy,6.0,adequate rate but you can do better,Vague 2021,negative,0,"['adequate', 'rate', 'but', 'you', 'can', 'do', 'better']","['a', 'd', 'e', 'q', 'u', 'a', 't', 'e', ' ', 'r', 'a', 't', 'e', ' ', 'b', 'u', 't', ' ', 'y', 'o', 'u', ' ', 'c', 'a', 'n', ' ', 'd', 'o', ' ', 'b', 'e', 't', 't', 'e', 'r']",7,adequate rate better
2797,41,Italy,6.0,,Vague 2021,negative,0,[],[],0,
2799,49,France,5.0,dvsd fgd gd,Vague 2021,negative,0,"['dvsd', 'fgd', 'gd']","['d', 'v', 's', 'd', ' ', 'f', 'g', 'd', ' ', 'g', 'd']",3,dvsd fgd
2801,55,France,5.0,"very bad credit institution, with a lot of hidden costs, this is the first time i have made a loan with them but it is the last. besides, i am in the process of redeeming my loan",Vague 2021,negative,0,"['very', 'bad', 'credit', 'institution,', 'with', 'a', 'lot', 'of', 'hidden', 'costs,', 'this', 'is', 'the', 'first', 'time', 'i', 'have', 'made', 'a', 'loan', 'with', 'them', 'but', 'it', 'is', 'the', 'last.', 'besides,', 'i', 'am', 'in', 'the', 'process', 'of', 'redeeming', 'my', 'loan']","['v', 'e', 'r', 'y', ' ', 'b', 'a', 'd', ' ', 'c', 'r', 'e', 'd', 'i', 't', ' ', 'i', 'n', 's', 't', 'i', 't', 'u', 't', 'i', 'o', 'n', ',', ' ', 'w', 'i', 't', 'h', ' ', 'a', ' ', 'l', 'o', 't', ' ', 'o', 'f', ' ', 'h', 'i', 'd', 'd', 'e', 'n', ' ', 'c', 'o', 's', 't', 's', ',', ' ', 't', 'h', 'i', 's', ' ', 'i', 's', ' ', 't', 'h', 'e', ' ', 'f', 'i', 'r', 's', 't', ' ', 't', 'i', 'm', 'e', ' ', 'i', ' ', 'h', 'a', 'v', 'e', ' ', 'm', 'a', 'd', 'e', ' ', 'a', ' ', 'l', 'o', 'a', 'n', ' ', 'w', 'i', 't', 'h', ' ', 't', 'h', 'e', 'm', ' ', 'b', 'u', 't', ' ', 'i', 't', ' ', 'i', 's', ' ', 't', 'h', 'e', ' ', 'l', 'a', 's', 't', '.', ' ', 'b', 'e', 's', 'i', 'd', 'e', 's', ',', ' ', 'i', ' ', 'a', 'm', ' ', 'i', 'n', ' ', 't', 'h', 'e', ' ', 'p', 'r', 'o', 'c', 'e', 's', 's', ' ', 'o', 'f', ' ', 'r', 'e', 'd', 'e', 'e', 'm', 'i', 'n', 'g', ' ', 'm', 'y', ' ', 'l', 'o', 'a', 'n']",37,bad credit institution lot hidden costs first time made loan last besides process redeeming loan
2803,64,France,9.0,no problem so far,Vague 2021,positive,1,"['no', 'problem', 'so', 'far']","['n', 'o', ' ', 'p', 'r', 'o', 'b', 'l', 'e', 'm', ' ', 's', 'o', ' ', 'f', 'a', 'r']",4,problem far
2807,42,France,5.0,no problems encountered with this organization at the moment.,Vague 2021,negative,0,"['no', 'problems', 'encountered', 'with', 'this', 'organization', 'at', 'the', 'moment.']","['n', 'o', ' ', 'p', 'r', 'o', 'b', 'l', 'e', 'm', 's', ' ', 'e', 'n', 'c', 'o', 'u', 'n', 't', 'e', 'r', 'e', 'd', ' ', 'w', 'i', 't', 'h', ' ', 't', 'h', 'i', 's', ' ', 'o', 'r', 'g', 'a', 'n', 'i', 'z', 'a', 't', 'i', 'o', 'n', ' ', 'a', 't', ' ', 't', 'h', 'e', ' ', 'm', 'o', 'm', 'e', 'n', 't', '.']",9,problems encountered organization moment
2808,24,Italy,9.0,dfgy,Vague 2021,positive,1,['dfgy'],"['d', 'f', 'g', 'y']",1,dfgy
2810,54,Italy,6.0,,Vague 2021,negative,0,[],[],0,
2812,38,Italy,10.0,i have been a customer for many years and i feel good,Vague 2021,positive,1,"['i', 'have', 'been', 'a', 'customer', 'for', 'many', 'years', 'and', 'i', 'feel', 'good']","['i', ' ', 'h', 'a', 'v', 'e', ' ', 'b', 'e', 'e', 'n', ' ', 'a', ' ', 'c', 'u', 's', 't', 'o', 'm', 'e', 'r', ' ', 'f', 'o', 'r', ' ', 'm', 'a', 'n', 'y', ' ', 'y', 'e', 'a', 'r', 's', ' ', 'a', 'n', 'd', ' ', 'i', ' ', 'f', 'e', 'e', 'l', ' ', 'g', 'o', 'o', 'd']",12,customer many years feel good
2814,55,France,6.0,very expensive,Vague 2021,negative,0,"['very', 'expensive']","['v', 'e', 'r', 'y', ' ', 'e', 'x', 'p', 'e', 'n', 's', 'i', 'v', 'e']",2,expensive
2816,42,Italy,9.0,it is very useful,Vague 2021,positive,1,"['it', 'is', 'very', 'useful']","['i', 't', ' ', 'i', 's', ' ', 'v', 'e', 'r', 'y', ' ', 'u', 's', 'e', 'f', 'u', 'l']",4,useful
2818,46,Italy,6.0,competitive interesting,Vague 2021,negative,0,"['competitive', 'interesting']","['c', 'o', 'm', 'p', 'e', 't', 'i', 't', 'i', 'v', 'e', ' ', 'i', 'n', 't', 'e', 'r', 'e', 's', 't', 'i', 'n', 'g']",2,competitive interesting
2819,64,Italy,10.0,reliability and competence,Vague 2021,positive,1,"['reliability', 'and', 'competence']","['r', 'e', 'l', 'i', 'a', 'b', 'i', 'l', 'i', 't', 'y', ' ', 'a', 'n', 'd', ' ', 'c', 'o', 'm', 'p', 'e', 't', 'e', 'n', 'c', 'e']",3,reliability competence
2820,57,Italy,6.0,reliable but expensive and a lot of bureaucracy,Vague 2021,negative,0,"['reliable', 'but', 'expensive', 'and', 'a', 'lot', 'of', 'bureaucracy']","['r', 'e', 'l', 'i', 'a', 'b', 'l', 'e', ' ', 'b', 'u', 't', ' ', 'e', 'x', 'p', 'e', 'n', 's', 'i', 'v', 'e', ' ', 'a', 'n', 'd', ' ', 'a', ' ', 'l', 'o', 't', ' ', 'o', 'f', ' ', 'b', 'u', 'r', 'e', 'a', 'u', 'c', 'r', 'a', 'c', 'y']",8,reliable expensive lot bureaucracy
2822,48,Italy,6.0,interesting,Vague 2021,negative,0,['interesting'],"['i', 'n', 't', 'e', 'r', 'e', 's', 't', 'i', 'n', 'g']",1,interesting
2823,27,Italy,9.0,i am very good,Vague 2021,positive,1,"['i', 'am', 'very', 'good']","['i', ' ', 'a', 'm', ' ', 'v', 'e', 'r', 'y', ' ', 'g', 'o', 'o', 'd']",4,good
2828,37,France,4.0,we never end this credit,Vague 2021,negative,0,"['we', 'never', 'end', 'this', 'credit']","['w', 'e', ' ', 'n', 'e', 'v', 'e', 'r', ' ', 'e', 'n', 'd', ' ', 't', 'h', 'i', 's', ' ', 'c', 'r', 'e', 'd', 'i', 't']",5,never end credit
2830,47,Italy,9.0,they are efficient,Vague 2021,positive,1,"['they', 'are', 'efficient']","['t', 'h', 'e', 'y', ' ', 'a', 'r', 'e', ' ', 'e', 'f', 'f', 'i', 'c', 'i', 'e', 'n', 't']",3,efficient
2835,41,France,5.0,,Vague 2021,negative,0,[],[],0,
2836,64,France,10.0,no problem with this organization,Vague 2021,positive,1,"['no', 'problem', 'with', 'this', 'organization']","['n', 'o', ' ', 'p', 'r', 'o', 'b', 'l', 'e', 'm', ' ', 'w', 'i', 't', 'h', ' ', 't', 'h', 'i', 's', ' ', 'o', 'r', 'g', 'a', 'n', 'i', 'z', 'a', 't', 'i', 'o', 'n']",5,problem organization
2837,64,France,9.0,aa,Vague 2021,positive,1,['aa'],"['a', 'a']",1,
2838,43,France,5.0,excessive rate ease of obtaining the loan,Vague 2021,negative,0,"['excessive', 'rate', 'ease', 'of', 'obtaining', 'the', 'loan']","['e', 'x', 'c', 'e', 's', 's', 'i', 'v', 'e', ' ', 'r', 'a', 't', 'e', ' ', 'e', 'a', 's', 'e', ' ', 'o', 'f', ' ', 'o', 'b', 't', 'a', 'i', 'n', 'i', 'n', 'g', ' ', 't', 'h', 'e', ' ', 'l', 'o', 'a', 'n']",7,excessive rate ease obtaining loan
2842,30,Italy,5.0,good,Vague 2021,negative,0,['good'],"['g', 'o', 'o', 'd']",1,good
2843,46,France,6.0,subscription and use have gone well so far.,Vague 2021,negative,0,"['subscription', 'and', 'use', 'have', 'gone', 'well', 'so', 'far.']","['s', 'u', 'b', 's', 'c', 'r', 'i', 'p', 't', 'i', 'o', 'n', ' ', 'a', 'n', 'd', ' ', 'u', 's', 'e', ' ', 'h', 'a', 'v', 'e', ' ', 'g', 'o', 'n', 'e', ' ', 'w', 'e', 'l', 'l', ' ', 's', 'o', ' ', 'f', 'a', 'r', '.']",8,subscription use gone well far
2845,52,Italy,6.0,i did it quickly and easily.,Vague 2021,negative,0,"['i', 'did', 'it', 'quickly', 'and', 'easily.']","['i', ' ', 'd', 'i', 'd', ' ', 'i', 't', ' ', 'q', 'u', 'i', 'c', 'k', 'l', 'y', ' ', 'a', 'n', 'd', ' ', 'e', 'a', 's', 'i', 'l', 'y', '.']",6,quickly easily
2846,56,Italy,5.0,i do not trust,Vague 2021,negative,0,"['i', 'do', 'not', 'trust']","['i', ' ', 'd', 'o', ' ', 'n', 'o', 't', ' ', 't', 'r', 'u', 's', 't']",4,trust
2847,38,Italy,9.0,ease and timing,Vague 2021,positive,1,"['ease', 'and', 'timing']","['e', 'a', 's', 'e', ' ', 'a', 'n', 'd', ' ', 't', 'i', 'm', 'i', 'n', 'g']",3,ease timing
